               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083593,            0.033276,             0.06455,                0.15,             0.19217,            0.044911,            0.015131,            0.062211,            0.018878,            0.059608,            0.070476,           0.0032804,           0.0032804
                   1,            0.058194,            0.025285,            0.060762,            0.080964,             0.36239,            0.076503,            0.035008,            0.057329,            0.013574,            0.058072,             0.04047,           0.0066072,           0.0066072
                   2,            0.054384,            0.021496,            0.060019,              0.1105,             0.43991,             0.11985,            0.063554,            0.044999,            0.011875,            0.057667,            0.010456,           0.0099274,           0.0099274
                   3,            0.049998,            0.019552,            0.059894,            0.093011,             0.57187,             0.11134,            0.050844,            0.045052,            0.010936,            0.057425,           0.0099703,           0.0099703,           0.0099703
                   4,            0.044083,            0.017348,             0.05941,             0.11543,             0.60631,             0.15232,            0.085504,            0.038542,           0.0098936,             0.05694,           0.0099703,           0.0099703,           0.0099703
                   5,            0.040364,            0.016069,            0.059286,             0.12876,              0.5702,             0.17657,            0.093984,            0.036029,           0.0096122,            0.056469,           0.0099604,           0.0099604,           0.0099604
                   6,            0.038058,            0.015486,            0.058474,             0.15588,             0.48498,              0.2029,             0.12338,            0.032829,           0.0093456,            0.055398,           0.0099505,           0.0099505,           0.0099505
                   7,            0.037459,            0.015562,             0.05714,             0.21523,             0.43368,              0.2661,             0.16161,            0.032803,           0.0091152,            0.053415,           0.0099406,           0.0099406,           0.0099406
                   8,            0.036216,            0.014943,            0.054766,             0.31447,             0.45222,             0.35427,             0.22895,            0.031945,            0.009133,            0.050477,           0.0099307,           0.0099307,           0.0099307
                   9,            0.035901,            0.014276,            0.052154,             0.36132,             0.54259,             0.45057,             0.26244,            0.030985,           0.0087751,            0.045427,           0.0099208,           0.0099208,           0.0099208
                  10,            0.035525,            0.014405,            0.048205,              0.3917,             0.55619,             0.47349,             0.27635,            0.031726,           0.0088136,            0.042808,           0.0099109,           0.0099109,           0.0099109
                  11,             0.03425,            0.014016,            0.044517,             0.46677,             0.58252,             0.55355,             0.28817,            0.033794,            0.009201,            0.038545,            0.009901,            0.009901,            0.009901
                  12,             0.03534,            0.014186,            0.040323,             0.56584,             0.66453,              0.6263,             0.40516,            0.030526,            0.008837,            0.033183,           0.0098911,           0.0098911,           0.0098911
                  13,            0.035402,            0.014714,            0.037314,             0.60556,             0.68222,             0.68973,             0.45184,            0.029356,           0.0089016,            0.030237,           0.0098812,           0.0098812,           0.0098812
                  14,            0.034801,            0.013969,            0.034221,             0.61562,             0.69463,             0.74132,             0.45597,            0.029274,           0.0085652,            0.026584,           0.0098713,           0.0098713,           0.0098713
                  15,            0.034067,            0.014247,            0.033168,              0.6669,             0.67508,             0.73172,             0.45007,             0.03065,           0.0094196,            0.027334,           0.0098614,           0.0098614,           0.0098614
                  16,            0.033789,            0.014497,            0.031284,             0.71601,             0.76776,             0.81071,             0.52336,            0.029235,           0.0085675,            0.023966,           0.0098515,           0.0098515,           0.0098515
                  17,            0.033545,            0.013837,            0.029951,             0.69964,             0.74454,             0.78425,             0.50663,            0.030391,           0.0086846,            0.023551,           0.0098416,           0.0098416,           0.0098416
                  18,            0.033249,            0.014601,            0.027707,             0.73251,             0.78384,             0.82733,             0.53134,            0.028386,           0.0086536,            0.021527,           0.0098317,           0.0098317,           0.0098317
