               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080951,            0.033401,            0.064283,             0.15699,             0.23384,            0.056527,            0.020459,            0.057371,            0.017006,            0.059929,             0.07039,             0.00329,             0.00329
                   1,            0.056008,            0.024871,            0.060556,            0.088656,             0.38411,            0.094625,            0.038453,            0.053597,            0.012671,            0.058092,            0.040302,           0.0065359,           0.0065359
                   2,            0.050704,            0.020995,            0.059804,            0.079236,             0.41793,            0.083476,             0.03535,             0.05215,            0.011268,            0.057981,            0.010127,           0.0096939,           0.0096939
                   3,            0.046425,            0.018172,            0.059271,             0.09853,             0.60171,             0.12542,            0.068429,            0.040596,            0.010471,            0.057409,            0.009604,            0.009604,            0.009604
                   4,            0.042075,            0.016674,            0.059068,             0.11035,             0.59289,             0.14587,            0.079749,            0.036839,           0.0098658,            0.057328,            0.009604,            0.009604,            0.009604
                   5,            0.038044,            0.015268,            0.058518,             0.13096,              0.5065,             0.18327,             0.10055,            0.034539,           0.0098757,             0.05632,            0.009472,            0.009472,            0.009472
                   6,            0.037137,            0.015459,            0.057542,             0.19204,             0.41749,             0.25946,              0.1305,            0.031744,           0.0094373,            0.053605,             0.00934,             0.00934,             0.00934
                   7,            0.035694,            0.015052,            0.054626,              0.3312,             0.39868,             0.31844,              0.1923,            0.032625,           0.0093127,            0.049919,            0.009208,            0.009208,            0.009208
                   8,            0.035568,            0.015268,            0.051728,             0.36278,             0.42108,             0.39185,             0.23262,            0.032905,           0.0092408,            0.045825,            0.009076,            0.009076,            0.009076
                   9,            0.035041,            0.014702,            0.047125,             0.34414,             0.58385,             0.46987,             0.30222,            0.030473,           0.0098685,            0.040061,            0.008944,            0.008944,            0.008944
                  10,            0.034102,            0.014612,            0.042977,             0.45915,             0.57073,             0.57745,             0.37233,            0.029601,           0.0088027,            0.035226,            0.008812,            0.008812,            0.008812
                  11,            0.033781,            0.014165,            0.039331,             0.74223,             0.52206,             0.63184,             0.36332,             0.03237,           0.0088926,             0.03247,             0.00868,             0.00868,             0.00868
